HAIR MASK,Clay hair mask,"Mix ¼ cup of clay with enough water (or another aqueous phase) to create a paste. Add 2 tablespoons of vegetable oil.  Make sure you use non-metallic container and spoon. Apply to the roots and leave it on for 10 minutes, then rinse thoroughly and shampoo as usual.",,"Clay, Vegetable Oil","Aqueous phase, Essential oil",Single use,hair
HAIR MASK,Avocado hair mask,Works especially well on curly and dry hair. Put the avocado into a blender and mix with the other ingredients until smooth. Apply on lengths and leave it in for 20 minutes. Use a hair cap for best results.,Avocado,,"Aqueous phase, Cosmetic ingredient, Fruit pulp, Vegetable oil, Essential oil",Single use,hair
FACE MASK,Honey face mask,This purifying mask is great for all skin types. Mix the ingredients together and leave on for about 20 minutes.,Honey,,"Aqueous phase, Cosmetic ingredient, Fruit pulp",Single use,skin
FACE MASK,Oat face mask,"You can also use oatmeal. Combine 1/2 cup hot water and 1/3 cup oatmeal. After the water and oatmeal have settled for two or three minutes, mix together with the other ingredients. Leave on for 10 minutes.",Oat flour,,"Aqueous phase, Cosmetic ingredient, Fruit pulp",Single use,skin
FACE MASK,Avocado face mask,"Mash up the avocado into a smooth paste, then gently apply it to your face and neck. Leave it on for 10 to 20 minutes, then rinse it off with cold water",Avocado,,"Aqueous phase, Cosmetic ingredient, Fruit pulp, Vegetable oil",Single use,skin
FACE MASK,Yogurt face mask,Mix all the ingredients together and slather on your face. Leave the mask on for about 20 minutes.,Yogurt,,"Aqueous phase, Cosmetic ingredient, Fruit pulp, Vegetable oil",Single use,skin
FACE MASK,Egg white face mask,This mask is excellent for tightening the pores. Apply it on your face and leave it on for about 10 minutes.,Egg,,"Aqueous phase, Cosmetic ingredient",Single use,skin
FACE MASK,Banana face mask,"Mash up a medium-sized ripe banana into a smooth paste, then gently apply it to your face and neck. Leave it on for 10 to 20 minutes, then rinse it off with cold water.",Banana pulp,,"Aqueous phase, Cosmetic ingredient, Fruit pulp, Vegetable oil",Single use,skin
MAKE UP REMOVER,Biphase make up remover,Simply combine one part of your favorite(s) vegetable oil with one part of an aqueous phase of your choice. Shake well before use.,,"Vegetable oil, Aqueous phase",,Two weeks,skin
BODY CREAM,Shea butter body cream,"Melt the unrefined shea butter down in a bain marie together with the other vegetable oils. Place the mixture in the fridge until it hardens (1 or 2 hours depending on the quantity), then beat it (beat iiiit) with an electric whisk until it has the consistency of whipped cream. You can add essential oils when you get close to the desired consistency.",Shea butter,,"Vegetable oil, Essential oil",Six months,skin
BODY CREAM,Coconut oil body cream,"Melt the coconut oil down in a bain marie together with the other vegetable oils. Place the mixture in the fridge until it hardens (1 or 2 hours depending on the quantity), then beat it (beat iiiit) with an electric whisk until it has the consistency of whipped cream. You can add essential oils when you get close to the desired consistency.",Coconut oil,,"Vegetable oil, Essential oil",Six months,skin
BODY CREAM,Liniment,Heat separately equal parts of limewater and vegetable oil (put more oil if you want a more solid consistency). Then blend all the ingredients together and it’s ready!,Limewater,Vegetable oil,Essential oil,Six months,skin
SHOWER GEL,Corn flour shower gel,Mix together cornflour and apple cider vinegar. Adjust the quantities to get a smooth and creamy paste.,"Cornflour, Apple cider vinegar",,,Two weeks,skin
SHOWER GEL,Soap shower gel,"If your soap is hard, use a pan to slowly melt it down. Let it cool down, then add the honey and the other ingredients. Use 3 parts soap for 2 parts honey.",Honey,Soap,"Vegetable oil, Essential oil, Preservative",Two weeks,skin
SCRUB,Vegetable oil scrub,"Pick your oil and add either salt, cane sugar, or coffee ground for a firming effect. Do not scrub your face more than once a week, it could irritate your skin. Apply gently on clean skin, on body or face, avoiding the eye contour area.",,Vegetable oil,,Single use,skin
SCRUB,Oil free scrub,"Pick your base ingredient and add either salt, cane sugar, or coffee ground for a firming effect. Do not scrub your face more than once a week, it could irritate your skin. Apply gently on clean skin, on body or face, avoiding the eye contour area.",,Cosmetic ingredient,,Single use,skin
